i_epi,Horizon,accu_rewards,time_elipse,loss
9105,685,357.0,969.6627433856328,3.5318500995635986
9106,504,147.0,969.7208983182907,6.808835029602051
9107,850,399.0,969.8093245267868,10.080389022827148
9108,924,462.0,969.9039208094279,16.62134552001953
9109,739,546.0,969.9807563503583,19.88311767578125
9110,835,399.0,970.0665953119595,16.625648498535156
9111,1010,609.0,970.1690136353175,6.822311878204346
9112,753,420.0,970.247422293822,6.821784019470215
9113,664,441.0,970.3181183417638,23.14589500427246
9114,799,420.0,970.4012257933616,6.857062339782715
9115,776,441.0,970.4818407853444,19.944873809814453
9116,656,294.0,970.5524994134903,6.884939193725586
9117,803,567.0,970.6366974314054,3.5527281761169434
9118,478,168.0,970.6928908745448,10.085888862609863
9119,906,441.0,970.7861071387927,3.546693801879883
9120,751,441.0,970.865109817187,29.717262268066406
9121,708,378.0,970.9393420855205,6.809606552124023
9122,730,441.0,971.0163757999738,16.691728591918945
9123,783,378.0,971.097594555219,3.5422885417938232
9124,668,315.0,971.1678843537967,19.888214111328125
9125,738,315.0,971.2450817227364,6.8087568283081055
9126,774,420.0,971.3256823738416,16.616098403930664
9127,471,189.0,971.3796092192332,16.620389938354492
9128,782,420.0,971.4605156461398,13.415694236755371
9129,652,315.0,971.5295794129372,6.81474494934082
9130,773,336.0,971.6097204566001,3.550588369369507
9131,827,399.0,971.6976072033247,10.150294303894043
9132,797,483.0,971.7811734318733,10.082802772521973
9133,853,420.0,971.8691693266233,10.144447326660156
9134,809,483.0,971.953143910567,3.5437119007110596
9135,561,357.0,972.0144679903984,10.08421802520752
9136,814,399.0,972.0978792587916,10.085480690002441
9137,1056,567.0,972.2049562692642,3.535205364227295
9138,628,252.0,972.272554119428,10.0828218460083
9139,823,525.0,972.356574968497,3.528749465942383
9140,710,399.0,972.4306499282519,10.152261734008789
9141,646,189.0,972.4987826307614,6.806941032409668
9142,651,378.0,972.5685117562612,6.800044059753418
9143,504,189.0,972.6250056346257,10.0820894241333
9144,681,336.0,972.7000227928162,10.088641166687012
9145,895,420.0,972.7916797478994,6.804021835327148
9146,912,504.0,972.8863175113996,10.0810546875
9147,713,399.0,972.9615730643272,13.359786033630371
9148,862,504.0,973.0499753197034,6.807669639587402
9149,926,504.0,973.1431456963221,16.680076599121094
9150,624,399.0,973.2098539630572,6.798959255218506
9151,939,567.0,973.3044047991435,13.36315631866455
9152,889,399.0,973.3960934003194,6.805027008056641
9153,791,462.0,973.477352531751,10.086216926574707
9154,1055,567.0,973.5845611373584,13.362409591674805
9155,648,315.0,973.654752544562,3.53070068359375
9156,849,399.0,973.7445049166679,10.120379447937012
9157,906,462.0,973.8376981655757,10.081511497497559
9158,859,336.0,973.9258763551712,0.25065791606903076
9159,466,210.0,973.9788238565127,6.803280830383301
9160,667,399.0,974.0491368452708,3.580578327178955
9161,807,336.0,974.1317927877109,3.5360021591186523
9162,954,483.0,974.2293354789416,10.083930969238281
9163,783,399.0,974.3100471735,10.084357261657715
9164,862,504.0,974.3980122089386,19.920209884643555
9165,860,420.0,974.4869863748551,0.24280498921871185
9166,890,441.0,974.5781814416249,19.963939666748047
9167,466,273.0,974.6313332041104,13.362493515014648
9168,663,336.0,974.7040115316709,0.2488943636417389
9169,854,567.0,974.7930847287178,13.360427856445312
9170,822,315.0,974.8787531812985,16.6382999420166
9171,1032,588.0,974.9822727282842,6.852471828460693
9172,903,399.0,975.0767286419868,26.470504760742188
9173,903,483.0,975.172386654218,6.805660724639893
9174,736,399.0,975.2528479099274,19.90473747253418
9175,722,420.0,975.3279464443525,13.420684814453125
9176,745,378.0,975.4054205099742,19.89809799194336
9177,829,399.0,975.4908829887707,6.815762519836426
9178,944,462.0,975.5866232236226,10.086647033691406
9179,648,315.0,975.6562462488811,6.856829643249512
9180,736,315.0,975.7344592730204,19.90684700012207
9181,734,441.0,975.8121853629748,13.402068138122559
9182,904,399.0,975.9044649561246,10.077388763427734
9183,884,525.0,975.9945956071218,10.08421802520752
9184,847,399.0,976.0814253767331,16.62349510192871
9185,843,315.0,976.1672385732332,10.078251838684082
9186,841,420.0,976.2541050513586,3.5404677391052246
9187,819,399.0,976.3392917672793,10.079052925109863
9188,817,504.0,976.4237267494202,6.886591911315918
9189,951,483.0,976.5204169193904,6.810040473937988
9190,682,294.0,976.5925595323245,10.087246894836426
9191,690,378.0,976.6656845529874,16.629676818847656
9192,933,462.0,976.7628005901972,10.083277702331543
9193,892,462.0,976.8552974740664,13.41651439666748
9194,835,210.0,976.9412221630414,6.81494140625
9195,611,231.0,977.0070137063663,6.8100266456604
9196,805,357.0,977.0899106343587,6.8123064041137695
9197,651,399.0,977.1601626952489,6.800534248352051
9198,1006,588.0,977.2623249133428,13.399279594421387
9199,672,294.0,977.3341799139977,19.904781341552734
9200,613,315.0,977.4000863830248,10.131464004516602
9201,913,420.0,977.4927461981773,6.805879592895508
9202,774,378.0,977.5727303981781,13.354723930358887
9203,893,420.0,977.6661241173745,10.081439971923828
9204,912,378.0,977.7621741175651,3.5390803813934326
9205,879,462.0,977.853782804807,6.811954021453857
9206,689,357.0,977.9269419431687,16.683256149291992
9207,840,525.0,978.0139438788096,13.356836318969727
9208,715,399.0,978.0891873836517,10.080587387084961
9209,725,483.0,978.1661994775136,16.628719329833984
9210,652,294.0,978.2377194166183,10.083584785461426
9211,453,210.0,978.2890466570855,0.2615758776664734
9212,821,567.0,978.3731289585431,10.085925102233887
9213,856,441.0,978.4625913381576,13.352873802185059
9214,935,504.0,978.558493622144,13.358979225158691
9215,670,378.0,978.6300204118093,6.799444198608398
